n_colonies,local_patience,sharing_frequency,sharing_ratio,initial_mu,lm_max_iterations,mean_accuracy
4,7,5,0.2,0.1,10,0.7857142857142857
5,5,15,0.2,0.01,10,0.737012987012987
5,10,10,0.15,0.001,10,0.7305194805194806
3,3,10,0.15,0.1,10,0.7305194805194806
5,5,15,0.1,0.1,10,0.7694805194805194
2,7,5,0.15,0.001,10,0.7305194805194806
4,10,5,0.2,0.01,10,0.7532467532467533
3,3,15,0.05,0.1,10,0.7532467532467533
3,7,10,0.15,0.1,10,0.7402597402597403
4,10,20,0.05,0.001,10,0.7207792207792207
3,10,10,0.05,0.01,10,0.7337662337662338
2,10,15,0.2,0.01,10,0.7337662337662338
3,10,20,0.05,0.01,10,0.75
3,10,15,0.1,0.1,10,0.7532467532467533
5,10,5,0.1,0.1,10,0.7402597402597403
2,5,5,0.2,0.01,10,0.7077922077922079
2,3,15,0.05,0.01,10,0.737012987012987
3,7,10,0.2,0.01,10,0.7564935064935066
3,3,5,0.1,0.1,10,0.75
2,7,10,0.1,0.001,10,0.7435064935064934
3,10,5,0.1,0.01,10,0.788961038961039
2,3,5,0.1,0.01,10,0.75
5,7,5,0.1,0.01,10,0.7694805194805194
2,7,5,0.15,0.01,10,0.7467532467532467
4,10,10,0.2,0.001,10,0.7402597402597403
2,3,15,0.1,0.001,10,0.75
2,5,5,0.2,0.01,10,0.7435064935064934
3,5,20,0.1,0.01,10,0.7662337662337662
4,3,15,0.05,0.1,10,0.7435064935064934
3,3,5,0.15,0.1,10,0.7305194805194806
5,10,5,0.15,0.1,10,0.7662337662337662
5,7,10,0.1,0.1,10,0.7564935064935066
4,10,10,0.1,0.001,10,0.7467532467532467
5,3,10,0.2,0.1,10,0.7694805194805194
5,7,15,0.2,0.1,10,0.7532467532467533
2,5,15,0.05,0.1,10,0.737012987012987
3,3,10,0.1,0.001,10,0.7532467532467533
2,3,20,0.05,0.001,10,0.7532467532467533
2,3,15,0.2,0.01,10,0.7532467532467533
2,7,15,0.15,0.01,10,0.7564935064935066
2,10,20,0.15,0.01,10,0.7564935064935066
3,5,20,0.15,0.001,10,0.7435064935064934
5,7,15,0.05,0.001,10,0.7467532467532467
2,5,5,0.15,0.001,10,0.7532467532467533
4,10,10,0.2,0.1,10,0.7435064935064934
5,7,5,0.05,0.1,10,0.7597402597402598
2,5,20,0.1,0.001,10,0.7727272727272727
3,3,20,0.15,0.1,10,0.7467532467532467
3,3,5,0.1,0.1,10,0.75
5,5,20,0.15,0.001,10,0.762987012987013
4,5,5,0.1,0.01,10,0.7435064935064934
4,5,15,0.05,0.1,10,0.7597402597402597
2,7,20,0.2,0.01,10,0.7402597402597402
4,7,5,0.1,0.1,10,0.7337662337662338
3,10,15,0.15,0.01,10,0.7207792207792207
4,5,15,0.05,0.01,10,0.75
4,10,15,0.2,0.001,10,0.7532467532467533
3,7,5,0.15,0.01,10,0.7467532467532467
4,7,20,0.15,0.1,10,0.724025974025974
5,3,20,0.05,0.01,10,0.7532467532467533
2,3,10,0.05,0.001,10,0.7564935064935066
3,10,10,0.1,0.1,10,0.7337662337662337
4,5,10,0.1,0.1,10,0.762987012987013
4,3,5,0.1,0.1,10,0.7467532467532467
4,7,10,0.2,0.001,10,0.7467532467532467
3,3,5,0.1,0.001,10,0.7467532467532467
5,3,20,0.2,0.1,10,0.7402597402597403
2,5,10,0.05,0.1,10,0.737012987012987
4,10,5,0.05,0.01,10,0.7532467532467533
2,7,5,0.1,0.01,10,0.724025974025974
3,10,10,0.1,0.001,10,0.737012987012987
2,10,5,0.05,0.01,10,0.7597402597402598
4,3,15,0.05,0.001,10,0.7662337662337663
5,10,20,0.15,0.01,10,0.7435064935064934
2,3,5,0.15,0.01,10,0.7532467532467533
4,10,15,0.1,0.1,10,0.7532467532467533
3,3,10,0.05,0.1,10,0.7402597402597402
5,10,15,0.2,0.001,10,0.7532467532467533
4,5,5,0.15,0.001,10,0.7435064935064934
3,5,15,0.1,0.001,10,0.7532467532467533
3,3,5,0.1,0.1,10,0.7532467532467533
5,5,5,0.05,0.01,10,0.7532467532467533
