n_colonies,local_patience,sharing_frequency,sharing_ratio,initial_mu,lm_max_iterations,mean_accuracy
3,3,20,0.2,0.1,10,0.9678571428571429
5,10,20,0.1,0.1,10,0.9821428571428572
5,3,5,0.05,0.1,10,0.9714285714285714
4,3,20,0.15,0.001,10,0.9642857142857143
2,10,10,0.15,0.001,10,0.975
2,10,15,0.1,0.01,10,0.975
2,7,10,0.15,0.1,10,0.975
2,5,20,0.05,0.01,10,0.9642857142857143
3,5,10,0.1,0.1,10,0.95
2,7,20,0.1,0.001,10,0.9535714285714285
3,3,15,0.05,0.001,10,0.9571428571428572
2,3,5,0.2,0.01,10,0.9571428571428572
2,3,20,0.2,0.1,10,0.975
2,7,20,0.2,0.01,10,0.9607142857142856
2,7,20,0.2,0.1,10,0.9678571428571429
3,10,5,0.2,0.001,10,0.9607142857142856
4,3,15,0.05,0.1,10,0.9678571428571429
2,5,5,0.05,0.01,10,0.9785714285714285
5,10,5,0.1,0.001,10,0.9857142857142858
4,7,5,0.2,0.001,10,0.9678571428571429
2,7,20,0.05,0.1,10,0.9607142857142857
5,5,15,0.2,0.1,10,0.9714285714285714
3,7,20,0.05,0.001,10,0.9678571428571429
4,10,5,0.2,0.1,10,0.975
2,10,5,0.15,0.001,10,0.9750000000000001
4,3,5,0.1,0.01,10,0.9642857142857143
4,5,15,0.1,0.001,10,0.9714285714285714
4,7,5,0.15,0.1,10,0.9714285714285714
3,7,20,0.05,0.01,10,0.9714285714285714
3,10,5,0.05,0.01,10,0.9714285714285714
4,5,5,0.2,0.01,10,0.95
2,5,15,0.1,0.01,10,0.9642857142857143
2,3,5,0.1,0.1,10,0.9392857142857143
5,10,5,0.05,0.01,10,0.9607142857142857
5,3,15,0.15,0.001,10,0.9714285714285714
2,10,20,0.1,0.1,10,0.9785714285714285
4,3,20,0.1,0.1,10,0.9714285714285714
4,5,10,0.15,0.1,10,0.9678571428571429
3,7,5,0.05,0.01,10,0.9607142857142856
5,5,10,0.2,0.001,10,0.9714285714285714
4,3,15,0.05,0.1,10,0.9750000000000001
2,10,10,0.05,0.1,10,0.9678571428571429
5,3,5,0.2,0.001,10,0.975
