fold,run,algorithm,accuracy,precision,recall,f1_score,convergence_speed,best_loss,threshold_reached,fold_threshold
2,43,Baseline ACOR,0.6652173913043479,0.6838235294117647,0.7322834645669292,0.7072243346007605,101,2.758472912872665,False,2.4253274422082765
2,44,Baseline ACOR,0.6652173913043479,0.7083333333333334,0.6692913385826772,0.6882591093117408,0,1.932503891926748,True,2.4253274422082765
2,45,Baseline ACOR,0.6782608695652174,0.712,0.7007874015748031,0.7063492063492064,0,1.6759508470878284,True,2.4253274422082765
2,46,Baseline ACOR,0.6434782608695652,0.6744186046511628,0.6850393700787402,0.6796875,0,1.9370858246738591,True,2.4253274422082765
2,47,Baseline ACOR,0.6956521739130435,0.696551724137931,0.7952755905511811,0.7426470588235294,0,2.247883371078236,True,2.4253274422082765
2,48,Baseline ACOR,0.6173913043478261,0.6466165413533834,0.6771653543307087,0.6615384615384615,101,3.0946885447850714,False,2.4253274422082765
2,49,Baseline ACOR,0.6826086956521739,0.725,0.6850393700787402,0.7044534412955465,0,1.3778968863139562,True,2.4253274422082765
2,50,Baseline ACOR,0.6739130434782609,0.7241379310344828,0.6614173228346457,0.691358024691358,0,1.6222567574482134,True,2.4253274422082765
2,1,Hybrid ACOR-LM,0.808695652173913,0.7902097902097902,0.889763779527559,0.837037037037037,0,0.26257200447060797,True,2.4253274422082765
2,2,Hybrid ACOR-LM,0.7739130434782608,0.7952755905511811,0.7952755905511811,0.7952755905511811,6,0.2544202753492781,True,2.4253274422082765
2,3,Hybrid ACOR-LM,0.7695652173913043,0.7681159420289855,0.8346456692913385,0.8,6,0.28521901773788705,True,2.4253274422082765
2,4,Hybrid ACOR-LM,0.8304347826086956,0.8492063492063492,0.84251968503937,0.8458498023715415,6,0.2717515437481345,True,2.4253274422082765
2,5,Hybrid ACOR-LM,0.7478260869565218,0.7674418604651163,0.7795275590551181,0.7734375,0,0.2485097684499894,True,2.4253274422082765
2,6,Hybrid ACOR-LM,0.7956521739130434,0.7941176470588235,0.8503937007874016,0.8212927756653993,0,0.23895989479850918,True,2.4253274422082765
2,7,Hybrid ACOR-LM,0.7695652173913043,0.7803030303030303,0.8110236220472441,0.7953667953667953,0,0.2775616136677705,True,2.4253274422082765
2,8,Hybrid ACOR-LM,0.8173913043478261,0.8148148148148148,0.8661417322834646,0.8396946564885496,0,0.27454183060464604,True,2.4253274422082765
2,9,Hybrid ACOR-LM,0.7608695652173914,0.7769230769230769,0.7952755905511811,0.7859922178988327,0,0.2575732646989348,True,2.4253274422082765
2,10,Hybrid ACOR-LM,0.7913043478260869,0.8015267175572519,0.8267716535433071,0.813953488372093,0,0.26904356045253713,True,2.4253274422082765
2,11,Hybrid ACOR-LM,0.8,0.813953488372093,0.8267716535433071,0.8203125,0,0.2776616342871552,True,2.4253274422082765
2,12,Hybrid ACOR-LM,0.7652173913043478,0.7703703703703704,0.8188976377952756,0.7938931297709924,0,0.2752919693375685,True,2.4253274422082765
