fold,run,accuracy,precision,recall,f1_score
2,24,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,25,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,26,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,27,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,28,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,29,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,30,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,31,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,32,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,33,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,34,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,35,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,36,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,37,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,38,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,39,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,40,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,41,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,42,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,43,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,44,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,45,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,46,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,47,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,48,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,49,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,50,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
3,1,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,2,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,3,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,4,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,5,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,6,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,7,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,8,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,9,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,10,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,11,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,12,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,13,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,14,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,15,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,16,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,17,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,18,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,19,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,20,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,21,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,22,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,23,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,24,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,25,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,26,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,27,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,28,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,29,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,30,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,31,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,32,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,33,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
3,34,0.9771428571428571,0.9523809523809523,0.9836065573770492,0.967741935483871
